Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level
Push-ups,3,15,Builds upper body strength,200,"Chest, Triceps, Shoulders",None,Intermediate
Squats,4,12,Strengthens lower body,223,"Quadriceps, Hamstrings, Glutes",None,Beginner
Lunges,3,10,Improves balance and coordination,275,"Quadriceps, Hamstrings, Glutes",None,Beginner
Burpees,3,10,Full body workout,355,Full Body,None,Advanced
Mountain Climbers,3,20,Improves cardiovascular fitness,240,"Core, Shoulders, Legs",None,Intermediate
Jumping Jacks,3,30,Improves coordination and cardiovascular health,295,Full Body,None,Beginner
Bicycle Crunches,3,20,Targets abdominal muscles,210,Core,None,Intermediate
Dips,3,12,Strengthens triceps and chest,180,"Triceps, Chest",Parallel Bars or Chair,Intermediate
Pull-ups,3,8,Builds upper body strength,250,"Back, Biceps",Pull-up Bar,Advanced
Russian Twists,3,20,Improves core rotation strength,190,"Core, Obliques",None or Dumbbell,Intermediate
Leg Raises,3,15,Strengthens lower abs,185,Lower Abs,None,Intermediate
Deadlifts,4,8,Strengthens back and legs,315,"Back, Hamstrings, Glutes",Barbell,Advanced
Bench Press,4,10,Builds chest strength,280,"Chest, Triceps","Bench, Barbell",Intermediate
Rows,3,12,Improves posture and back strength,260,"Back, Biceps",Dumbbells or Barbell,Intermediate
Shoulder Press,3,10,Strengthens shoulders,230,"Shoulders, Triceps",Dumbbells or Barbell,Intermediate
Calf Raises,3,20,Builds calf muscles,150,Calves,None or Dumbbells,Beginner
Tricep Extensions,3,12,Isolates and strengthens triceps,170,Triceps,Dumbbells,Intermediate
Lateral Raises,3,12,Builds shoulder width,165,Shoulders,Dumbbells,Intermediate
Glute Bridges,3,15,Activates and strengthens glutes,200,"Glutes, Hamstrings",None,Beginner
Superman,3,12,Improves lower back strength,180,"Lower Back, Glutes",None,Beginner
Box Jumps,4,10,Builds explosive power,320,"Legs, Core",Box or Platform,Advanced
Kettlebell Swings,3,15,Improves hip power and cardiovascular fitness,335,"Glutes, Hamstrings, Core",Kettlebell,Intermediate
Step-ups,3,12,Builds unilateral leg strength,260,"Quadriceps, Hamstrings, Glutes",Step or Box,Intermediate
Face Pulls,3,15,Improves shoulder health and posture,145,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Intermediate
Lat Pulldowns,3,12,Strengthens back and improves posture,250,"Back, Biceps",Cable Machine,Intermediate
Reverse Lunges,3,10,Improves balance and leg strength,270,"Quadriceps, Hamstrings, Glutes",None or Dumbbells,Intermediate
Plyo Squats,3,12,Builds lower body power,315,"Quadriceps, Glutes",None,Intermediate
Scissors Kicks,3,20,Strengthens lower abs and hip flexors,195,"Lower Abs, Hip Flexors",None,Intermediate
Tricep Dips,3,12,Isolates triceps,180,Triceps,Bench or Chair,Intermediate
Seated Rows,3,12,Improves back strength and posture,240,"Back, Biceps",Cable Machine or Resistance Band,Intermediate
Flutter Kicks,3,20,Targets lower abs,190,Lower Abs,None,Intermediate
Inverted Rows,3,10,Builds back strength,220,"Back, Biceps",Low Bar or TRX,Intermediate
Bulgarian Split Squats,3,10,Improves unilateral leg strength and balance,290,"Quadriceps, Hamstrings, Glutes",Bench or Step,Advanced
Prone Cobras,3,12,Improves posture and strengthens upper back,160,"Upper Back, Rear Deltoids",None,Beginner
Resistance Band Pull-Aparts,3,15,Improves shoulder health and posture,140,"Upper Back, Rear Deltoids",Resistance Band,Beginner
Wall Angels,3,10,Improves shoulder mobility and posture,130,"Shoulders, Upper Back",Wall,Beginner
Bird Dogs,3,10,Improves core stability and balance,175,"Core, Lower Back",None,Beginner
Plyometric Push-ups,3,8,Builds explosive upper body power,280,"Chest, Triceps, Shoulders",None,Advanced
Decline Push-ups,3,12,Targets upper chest,220,"Upper Chest, Triceps",Bench or Step,Advanced
Incline Push-ups,3,12,Targets lower chest,180,"Lower Chest, Triceps",Bench or Step,Beginner
Dead Bugs,3,12,Improves core stability,165,"Core, Lower Back",None,Beginner
Pistol Squats,3,5,Builds unilateral leg strength and balance,300,"Quadriceps, Hamstrings, Glutes",None,Advanced
Zottman Curls,3,10,Targets biceps and forearms,155,"Biceps, Forearms",Dumbbells,Intermediate
Dragon Flags,3,8,Advanced core exercise,250,Full Core,Bench or Sturdy Surface,Advanced
Renegade Rows,3,10,Improves core stability and upper body strength,280,"Back, Core, Shoulders",Dumbbells,Advanced
Frog Jumps,4,15,Builds lower body power and endurance,310,"Quadriceps, Calves, Glutes",None,Intermediate
Turkish Get-ups,3,5,Enhances full-body coordination and stability,240,"Full Body, Core, Shoulders",Kettlebell,Advanced
Bear Crawls,3,20,Strengthens core and improves mobility,220,"Core, Shoulders, Hips",None,Intermediate
Windshield Wipers,3,12,Targets obliques and improves core rotation,200,"Obliques, Core",Pull-up Bar,Advanced
Thrusters,4,10,Combines lower body and upper body strength,330,"Legs, Shoulders, Core",Dumbbells or Barbell,Advanced
